key,value
"Residence/Home",1630361
"Highway/Road/Alley/Street/Sidewalk",632243
"Parking/Drop Lot/Garage",175604
"Other/Unknown",81406
"Hotel/Motel/Etc.",51079
"Bar/Nightclub",42787
"Convenience Store",38231
"Restaurant",34145
"Service/Gas Station",31632
"Park/Playground",30825
"Jail/Prison/Penitentiary/Corrections Facility",28619
"School-Elementary/Secondary",28088
"Drug Store/Doctor's Office/Hospital",22246
"Commercial/Office Building",21733
"Field/Woods",16419
"Department/Discount Store",13780
"Grocery/Supermarket",12914
"Specialty Store",12150
"Government/Public Building",10674
"Air/Bus/Train Terminal",9398
"School/College",4749
"Shelter-Mission/Homeless",4577
"School-College/University",4461
"Shopping Mall",4179
"Liquor Store",3745
"Church/Synagogue/Temple/Mosque",3628
"Camp/Campground",3539
"Construction Site",3119
"Rental Storage Facility",2787
"Lake/Waterway/Beach",2602
"Gambling Facility/Casino/Race Track",2189
"Tribal Lands",1934
"Community Center",1892
"Industrial Site",1799
"Arena/Stadium/Fairgrounds/Coliseum",1586
"Bank/Savings and Loan",1512
"Daycare Facility",1478
"Auto Dealership New/Used",1422
"Abandoned/Condemned Structure",1113
"Rest Area",1004
"Amusement Park",912
"Dock/Wharf/Freight/Modal Terminal",808
"Farm Facility",655
"ATM Separate from Bank",226
"Military Installation",148
"Cyberspace",0
"Not Specified",0
