key,value
"Residence/Home",37886
"Highway/Road/Alley/Street/Sidewalk",21358
"Parking/Drop Lot/Garage",6618
"Other/Unknown",2185
"Drug Store/Doctor's Office/Hospital",1824
"Park/Playground",1525
"Hotel/Motel/Etc.",1322
"Bar/Nightclub",1040
"Restaurant",1003
"Jail/Prison/Penitentiary/Corrections Facility",974
"Convenience Store",951
"Grocery/Supermarket",914
"School-Elementary/Secondary",813
"Service/Gas Station",758
"Commercial/Office Building",680
"Air/Bus/Train Terminal",621
"Department/Discount Store",585
"Field/Woods",505
"Specialty Store",485
"Shelter-Mission/Homeless",473
"Government/Public Building",444
"Camp/Campground",240
"School/College",207
"School-College/University",170
"Church/Synagogue/Temple/Mosque",147
"Shopping Mall",142
"Lake/Waterway/Beach",98
"Bank/Savings and Loan",91
"Community Center",90
"Rental Storage Facility",82
"Farm Facility",77
"Tribal Lands",71
"Gambling Facility/Casino/Race Track",66
"Construction Site",61
"Arena/Stadium/Fairgrounds/Coliseum",51
"Daycare Facility",41
"Dock/Wharf/Freight/Modal Terminal",38
"Industrial Site",31
"Auto Dealership New/Used",29
"Liquor Store",23
"Abandoned/Condemned Structure",17
"Amusement Park",12
"ATM Separate from Bank",8
"Rest Area",5
"Military Installation",2
"Cyberspace",0
"Not Specified",0
